CustomerID,FirstName,LastName,Gender,AnnualIncome,City
C04475,Nicholas,Borra,M,1936159.0,Kanpur
C03581,Bhavna,Guha,Other,3139189.0,Panchkula
C01415,Jeremiah,Tiwari,Male,,Thanjavur
C01140,Lohit,Manne,F,887544.0,Anand
C03221,Pranav,Chand,Female,2724094.0,CHENNAI
C00304,Reva,Kuruvilla,Male,1623458.0,
C01188,Bhavini,Parekh,F,2233582.0,Rohtak
C03755,Watika,Sarraf,M,1204342.0,Sirsa
C03244,Warjas,Bhatt,Male,1823563.0,Bhiwandi
C02818,Omisha,Goswami,,727224.0,Chandigarh
C03900,Yachana,Gokhale,F,429837.0,AMRITSAR
C04617,Yuvraj,Gupta,F,2184657.0,Bilaspur
C00428,Omisha,Keer,Male,774974.0,SHIVPURI
C00988,Gopal,Sengupta,Male,2672164.0,jhansi
C01611,Charan,Dhillon,female,2034264.0,Hazaribagh
C00747,Frederick,Rout,Other,1925351.0,Kamarhati
C03100,Suhani,Dutt,female,2169040.0,Sasaram
C04241,Amrita,Zachariah,M,1463172.0,Aurangabad
C04500,Lipika,Gala,Female,2510483.0,Bulandshahr
C03145,Priya,Wali,Female,848009.0,Serampore
C00318,Nihal,Acharya,,2071941.0,Akola
C02230,Anika,Chada,Male,,Ambala
C00787,Chaitanya,Mital,M,,Suryapet
C00407,Triya,Kadakia,Female,1164482.0,Sambalpur
C00767,Anya,Karpe,Other,2088013.0,Mahbubnagar
C03708,Tristan,Patil,male,2677654.0,GUWAHATI
C04369,Jason,Devi,Female,,Delhi
C00058,Yoshita,Lalla,M,2727302.0,Meerut
C04199,Dhriti,Ratta,Male,2948409.0,Mumbai
C00485,Patrick,Raju,Female,2475549.0,Bongaigaon
C00007,Girindra,Kala,Other,1347550.0,Sasaram
C00031,Advay,Chaudhry,female,839924.0,
C01705,Brinda,Bala,Other,1949038.0,Amritsar
C00551,Ishita,Dara,Female,1483605.0,ANAND
C03692,Oeshi,Mangal,female,1785825.0,Ajmer
C00729,Ethan,More,Male,492054.0,KHORA 
C01567,Arunima,Goel,O,1039689.0,Bangalore
C01184,Bina,Dugar,female,2973543.0,Etawah
C02632,Riya,Bora,Male,453089.0,Baranagar
C03710,Jairaj,Sankar,M,2360295.0,Bhusawal
C00481,Harsh,Nayar,Female,395303.0,Sonipat
C04061,Veer,Sandhu,Female,1367329.0,Panihati
C01792,Tara,Venkatesh,male,1524124.0,Begusarai
C04618,Vincent,Bora,F,835031.0,Anantapur
C03115,Advay,Raval,Other,404741.0,Motihari
C03553,Aayush,Narasimhan,Male,,Tirunelveli
C02541,Rehaan,Ray,Other,887116.0,Berhampur
C00111,Neelima,Shah,female,2985179.0,Mira-Bhayandar
C00082,Vritti,Sane,M,,Kolhapur
C00203,Nidra,Basu,female,1382314.0,Suryapet
C02388,Mugdha,Chowdhury,Female,,Tadipatri
C02323,Jai,Agrawal,Female,2303965.0,Aurangabad
C04656,Charvi,Sharaf,M,915481.0,BUXAR
C00978,Leena,Patla,female,3055043.0,Bareilly
C03217,Hritik,Bobal,M,2252636.0,bhusawal
C03828,Rishi,Balakrishnan,Other,1102466.0,Hindupur
C04073,Amara,Mistry,Other,542601.0,Tiruchirappalli
C00080,Warda,Das,O,2693283.0,Buxar
C00223,Harsh,Kuruvilla,M,3091984.0,adoni
C00687,Varenya,Sodhi,M,1507142.0,Sambalpur
C04941,Manbir,Kadakia,Female,,Phagwara
C03919,Charles,Goel,female,2240594.0,Bilaspur
C00779,Urvi,Subramaniam,male,2465803.0,Vellore
C04575,Rayaan,Mohanty,male,3041612.0,Jorhat
C00895,Yachana,Mitter,O,330512.0,Anantapuram
C02633,Dominic,Lad,Male,,Arrah
C01998,Michael,Chacko,F,1918765.0,Bharatpur
C04652,Udant,Mand,O,2844613.0,Bhalswa Jahangir Pur
C02669,Damyanti,Chander,male,644407.0,Udupi
C01825,Abeer,Verma,M,3084987.0,Guna
C02990,Sanaya,Loke,female,1438177.0,TIRUPATI
C04819,Nathan,Roy,female,402201.0,Tumkur
